url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-18,2019-06-18,Precipitation; 1.38,1.38,0.12,2.25
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-18,2019-06-18,Month to Date,3.67,2.48,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-18,2019-06-18,Year to Date,26.44,19.82,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-19,2019-06-19,Precipitation; 0.03,0.03,0.12,1.22
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-19,2019-06-19,Month to Date,3.7,2.6,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-19,2019-06-19,Year to Date,26.47,19.94,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-20,2019-06-20,Precipitation; 0.75,0.75,0.11,0.87
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-20,2019-06-20,Month to Date,4.45,2.71,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-20,2019-06-20,Year to Date,27.22,20.05,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-21,2019-06-21,Precipitation; 0.58,0.58,0.12,1.46
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-21,2019-06-21,Month to Date,5.03,2.83,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-21,2019-06-21,Year to Date,27.8,20.17,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-22,2019-06-22,Precipitation; 0,0,0.12,1.25
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-22,2019-06-22,Month to Date,5.03,2.95,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-22,2019-06-22,Year to Date,27.8,20.29,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-23,2019-06-23,Precipitation; 0,0,0.12,1.05
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-23,2019-06-23,Month to Date,5.03,3.07,-
