url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-23,2019-07-23,Month to Date,5.51,3.25,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-23,2019-07-23,Year to Date,32.1,24.88,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-24,2019-07-24,Precipitation; 0.02,0.02,0,3.07
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-24,2019-07-24,Month to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-24,2019-07-24,Year to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-25,2019-07-25,Precipitation; 0,0,0,1.6
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-25,2019-07-25,Month to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-25,2019-07-25,Year to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-26,2019-07-26,Precipitation; 0,0,0,2.89
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-26,2019-07-26,Month to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-26,2019-07-26,Year to Date,0,0,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-27,2019-07-27,Precipitation; 0,0,0.15,2.77
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-27,2019-07-27,Month to Date,5.53,3.85,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-27,2019-07-27,Year to Date,32.12,25.48,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-28,2019-07-28,Precipitation; 1e-16,1e-16,0.16,1.97
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-28,2019-07-28,Month to Date,5.53,4.01,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-28,2019-07-28,Year to Date,32.12,25.64,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-29,2019-07-29,Precipitation; 0,0,0.17,3.45
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-29,2019-07-29,Month to Date,5.53,4.18,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-29,2019-07-29,Year to Date,32.12,25.81,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-30,2019-07-30,Precipitation; 1e-16,1e-16,0.15,3.46
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-30,2019-07-30,Month to Date,5.53,4.33,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-30,2019-07-30,Year to Date,32.12,25.96,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-31,2019-07-31,Precipitation; 0.58,0.58,0.17,1.23
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-31,2019-07-31,Month to Date,6.11,4.5,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-07-31,2019-07-31,Year to Date,32.7,26.13,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-08-01,2019-08-01,Precipitation; 0,0,0.15,2.03
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-08-01,2019-08-01,Month to Date,0,0.15,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-08-01,2019-08-01,Year to Date,32.7,26.28,-
